canonical_id,ET,PH_REGION,FA,BT,HR,SC,ST,v,created_at
FA-SG-A__BT-CF__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,SG-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.259984
FA-SG-A__BT-SM__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,SG-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.261119
FA-SG-A__BT-SC__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,SG-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.262260
FA-MB-A__BT-FR__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,MB-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.263466
FA-MB-A__BT-AL__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,MB-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.264813
FA-MB-A__BT-CF__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,MB-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.265961
FA-MB-A__BT-SM__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,MB-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.267077
FA-MB-A__BT-SC__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,MB-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.268175
FA-EM-A__BT-FR__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,EM-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.269338
FA-EM-A__BT-AL__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,EM-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.270800
FA-EM-A__BT-CF__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,EM-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.272017
FA-EM-A__BT-SM__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,EM-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.273299
FA-EM-A__BT-SC__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,EM-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.274407
FA-RS-A__BT-FR__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,RS-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.275533
FA-RS-A__BT-AL__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,RS-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.276885
FA-RS-A__BT-CF__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,RS-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.278082
FA-RS-A__BT-SM__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,RS-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.279216
FA-RS-A__BT-SC__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,RS-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.280845
FA-FD-A__BT-FR__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,FD-A,FR,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.282027
FA-FD-A__BT-AL__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,FD-A,AL,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.283124
FA-FD-A__BT-CF__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,FD-A,CF,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.284318
FA-FD-A__BT-SM__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,FD-A,SM,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.285472
FA-FD-A__BT-SC__ET-PH__PH_REGION-BANGSAMORO__HR-ST__SC-JUNGLE__ST-POCA__v01,PH,BANGSAMORO,FD-A,SC,ST,JUNGLE,POCA,01,2026-01-03T19:21:43.286580
